         1365951 function calls (1341936 primitive calls) in 133.986 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       27    0.001    0.000    0.043    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/control_flow_ops.py:3323(with_dependencies)
       12    0.000    0.000    0.042    0.004 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/nn_ops.py:2137(max_pool)
       12    0.000    0.000    0.042    0.004 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/optimizer.py:113(update_op)
       12    0.000    0.000    0.042    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/adam.py:149(_apply_dense)
    13843    0.009    0.000    0.042    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/pywrap_tensorflow_internal.py:58(_swig_setattr)
       31    0.000    0.000    0.042    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:1125(_mul_dispatch)
     1165    0.003    0.000    0.042    0.000 /usr/lib/python3.5/inspect.py:678(getabsfile)
      890    0.027    0.000    0.042    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1552(_NodeDef)
       31    0.001    0.000    0.041    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_math_ops.py:5025(mul)
        4    0.000    0.000    0.041    0.010 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_grad.py:864(_AddGrad)
       12    0.001    0.000    0.041    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_nn_ops.py:4599(max_pool)
       18    0.000    0.000    0.040    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/math_ops.py:1283(reduce_sum)
   122805    0.034    0.000    0.040    0.000 {built-in method builtins.isinstance}
    10929    0.007    0.000    0.039    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/pywrap_tensorflow_internal.py:951(<lambda>)
     9103    0.009    0.000    0.039    0.000 /usr/lib/python3.5/posixpath.py:158(islink)
       11    0.000    0.000    0.039    0.004 /usr/lib/python3.5/linecache.py:37(getlines)
        3    0.000    0.000    0.039    0.013 /usr/lib/python3.5/linecache.py:82(updatecache)
        3    0.000    0.000    0.038    0.013 /usr/lib/python3.5/tokenize.py:450(open)
        3    0.000    0.000    0.038    0.013 /usr/lib/python3.5/tokenize.py:357(detect_encoding)
        6    0.000    0.000    0.038    0.006 /usr/lib/python3.5/tokenize.py:381(read_or_stop)
        6    0.038    0.006    0.038    0.006 {method 'readline' of '_io.BufferedReader' objects}
      890    0.005    0.000    0.037    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1795(<listcomp>)
     4162    0.037    0.000    0.037    0.000 {built-in method numpy.core.multiarray.zeros}
      890    0.007    0.000    0.037    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:1807(_control_flow_post_processing)
       15    0.000    0.000    0.035    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/summary/summary.py:65(scalar)
       27    0.000    0.000    0.035    0.001 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/control_flow_ops.py:164(_Identity)
        7    0.000    0.000    0.035    0.005 /usr/lib/python3.5/genericpath.py:27(isfile)
       12    0.000    0.000    0.034    0.003 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/gen_training_ops.py:243(apply_adam)
        1    0.000    0.000    0.034    0.034 /usr/local/lib/python3.5/dist-packages/tensorflow/python/training/saver.py:274(_AddSaveOps)
     1280    0.003    0.000    0.034    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:6045(__exit__)
     2560    0.011    0.000    0.033    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/framework/ops.py:3905(name_scope)
    13843    0.025    0.000    0.033    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/pywrap_tensorflow_internal.py:39(_swig_setattr_nondynamic)
       89    0.003    0.000    0.033    0.000 /usr/local/lib/python3.5/dist-packages/tensorflow/python/client/session.py:416(__init__)
     4802    0.008    0.000    0.032    0.000 {method 'sum' of 'numpy.generic' objects}
       15    0.000    0.000    0.032    0.002 /usr/local/lib/python3.5/dist-packages/tensorflow/python/ops/gen_logging_ops.py:606(scalar_summary)
